Ticker,Date,Sales,NetProfit,Borrowings,Equity,Reserves
Indo Tech.Trans,2016-03-31,189.87,4.02,,10.62,144.25
Indo Tech.Trans,2017-03-31,148.81,-11.27,,10.62,127.57
Indo Tech.Trans,2018-03-31,220.17,-3.69,,10.62,123.48
Indo Tech.Trans,2019-03-31,213.39,-8.39,,10.62,114.55
Indo Tech.Trans,2020-03-31,205.33,1.92,,10.62,115.91
Indo Tech.Trans,2021-03-31,206.0,6.29,,10.62,122.61
Indo Tech.Trans,2022-03-31,280.07,12.19,0.56,10.62,134.5
Indo Tech.Trans,2023-03-31,370.9,25.7,11.34,10.62,160.28
Indo Tech.Trans,2024-03-31,503.21,46.86,5.0,10.62,206.54
Indo Tech.Trans,2025-03-31,611.78,63.88,8.16,10.62,270.13
Dynacons Sys,2016-03-31,124.18,0.91,20.87,5.92,10.95
Dynacons Sys,2017-03-31,158.29,1.24,20.1,6.38,14.05
Dynacons Sys,2018-03-31,210.7,1.89,35.47,6.91,16.23
Dynacons Sys,2019-03-31,303.72,4.19,35.43,9.17,21.56
Dynacons Sys,2020-03-31,327.95,6.12,37.19,9.17,27.02
Dynacons Sys,2021-03-31,435.94,9.22,43.51,10.13,39.31
Dynacons Sys,2022-03-31,653.98,16.46,64.14,11.28,56.58
Dynacons Sys,2023-03-31,804.15,33.38,68.63,12.69,91.87
Dynacons Sys,2024-03-31,1024.43,53.96,35.76,12.71,144.85
Dynacons Sys,2025-03-31,1266.83,72.41,138.84,12.73,218.19
Shanthi Gears,2016-03-31,164.43,17.73,,8.17,275.72
Shanthi Gears,2017-03-31,183.07,22.51,,8.17,298.15
Shanthi Gears,2018-03-31,213.55,28.58,,8.17,309.62
Shanthi Gears,2019-03-31,241.68,33.35,,8.17,293.91
Shanthi Gears,2020-03-31,242.29,25.19,,7.67,220.95
Shanthi Gears,2021-03-31,215.53,20.17,,7.67,229.46
Shanthi Gears,2022-03-31,337.07,42.47,,7.67,252.29
Shanthi Gears,2023-03-31,445.65,67.05,,7.67,294.68
Shanthi Gears,2024-03-31,536.05,82.25,,7.67,337.64
Shanthi Gears,2025-03-31,604.62,96.03,,7.67,395.32
Schaeffler India,2015-12-31,1710.89,197.48,,16.62,1272.62
Schaeffler India,2016-12-31,1794.56,195.06,,16.62,1458.54
Schaeffler India,2017-12-31,3940.61,388.49,69.38,16.62,2308.54
Schaeffler India,2018-12-31,4561.51,419.8,57.74,31.26,2674.86
Schaeffler India,2019-12-31,4360.63,367.64,,31.26,2930.9
Schaeffler India,2020-12-31,3761.84,290.97,65.09,31.26,3109.03
Schaeffler India,2021-12-31,5560.51,629.12,60.7,31.26,3622.41
Schaeffler India,2022-12-31,6867.42,879.21,57.38,31.26,4254.64
Schaeffler India,2023-12-31,7226.13,909.03,51.1,31.26,4784.1
Schaeffler India,2024-12-31,8076.29,977.67,42.42,31.26,5352.04
Solar Industries,2016-03-31,1448.62,163.66,397.58,18.1,787.35
Solar Industries,2017-03-31,1579.99,186.54,501.16,18.1,910.49
Solar Industries,2018-03-31,1916.12,220.55,517.58,18.1,1065.76
Solar Industries,2019-03-31,2461.57,261.61,603.4,18.1,1220.23
Solar Industries,2020-03-31,2237.3,267.43,708.13,18.1,1361.99
Solar Industries,2021-03-31,2515.63,276.35,807.56,18.1,1561.31
Solar Industries,2022-03-31,3947.61,441.28,888.0,18.1,1896.18
Solar Industries,2023-03-31,6918.41,757.19,1194.69,18.1,2592.24
Solar Industries,2024-03-31,6069.52,835.93,1137.84,18.1,3287.5
Solar Industries,2025-03-31,7540.26,1209.44,974.95,18.1,4368.24
Prec. Wires (I),2016-03-31,843.49,17.03,27.79,11.56,183.24
Prec. Wires (I),2017-03-31,884.15,22.54,37.8,11.56,201.17
Prec. Wires (I),2018-03-31,1407.82,35.98,33.43,11.56,224.95
Prec. Wires (I),2019-03-31,1757.89,41.83,29.5,11.56,253.87
Prec. Wires (I),2020-03-31,1525.81,31.82,31.04,11.56,271.24
Prec. Wires (I),2021-03-31,1718.6,39.31,21.98,11.56,304.49
Prec. Wires (I),2022-03-31,2683.14,63.01,22.48,11.56,353.32
Prec. Wires (I),2023-03-31,3033.58,59.49,16.17,17.87,432.44
Prec. Wires (I),2024-03-31,3301.69,72.85,98.61,17.87,488.57
Prec. Wires (I),2025-03-31,4014.83,90.04,61.51,17.87,558.37
Stylam Industrie,2016-03-31,264.26,12.15,116.78,7.32,48.88
Stylam Industrie,2017-03-31,294.35,19.64,184.0,7.32,69.21
Stylam Industrie,2018-03-31,339.08,20.06,126.8,8.17,137.47
Stylam Industrie,2019-03-31,460.62,38.82,189.05,8.17,177.35
Stylam Industrie,2020-03-31,462.15,18.91,118.48,8.47,195.79
Stylam Industrie,2021-03-31,479.53,55.3,59.15,8.47,251.21
Stylam Industrie,2022-03-31,659.35,61.01,79.42,8.47,307.97
Stylam Industrie,2023-03-31,952.13,95.95,46.93,8.47,403.92
Stylam Industrie,2024-03-31,914.08,128.4,,8.47,528.09
Stylam Industrie,2025-03-31,1025.09,121.83,36.07,8.47,649.15
3B Blackbio,2016-03-31,17.33,0.33,7.73,6.38,4.04
3B Blackbio,2017-03-31,16.16,1.13,8.69,6.38,4.83
3B Blackbio,2018-03-31,23.21,3.43,5.8,6.38,12.0
3B Blackbio,2019-03-31,23.28,5.24,6.19,6.39,16.11
3B Blackbio,2020-03-31,28.87,7.69,3.52,7.49,24.62
3B Blackbio,2021-03-31,226.74,113.87,2.01,7.49,124.56
3B Blackbio,2022-03-31,80.65,32.2,2.53,7.49,145.53
3B Blackbio,2023-03-31,61.84,25.94,2.03,8.57,184.69
3B Blackbio,2024-03-31,74.12,32.1,0.85,8.57,214.48
3B Blackbio,2025-03-31,96.47,47.69,0.31,8.57,259.85
Polycab India,2016-03-31,5202.44,184.79,795.66,141.21,1641.59
Polycab India,2017-03-31,5500.12,232.7,855.71,141.21,1852.55
Polycab India,2018-03-31,6770.3,358.01,800.3,141.21,2206.41
Polycab India,2019-03-31,7985.55,499.7,272.42,141.21,2705.75
Polycab India,2020-03-31,8829.96,759.06,157.06,148.88,3687.54
Polycab India,2021-03-31,8792.23,882.09,282.5,149.12,4604.83
Polycab India,2022-03-31,12203.76,908.58,118.15,149.44,5394.3
Polycab India,2023-03-31,14107.78,1270.78,109.35,149.77,6487.44
Polycab India,2024-03-31,18039.44,1784.05,161.09,150.24,8036.9
Polycab India,2025-03-31,22408.31,2019.99,202.43,150.43,9674.6
Caplin Point Lab,2016-03-31,238.72,45.76,2.0,15.11,113.03
Caplin Point Lab,2017-03-31,401.65,95.61,0.73,15.12,209.65
Caplin Point Lab,2018-03-31,539.84,144.79,0.53,15.12,348.71
Caplin Point Lab,2019-03-31,648.69,176.57,36.46,15.13,581.86
Caplin Point Lab,2020-03-31,863.2,215.01,113.19,15.13,858.2
Caplin Point Lab,2021-03-31,1061.29,242.27,234.96,15.13,954.13
Caplin Point Lab,2022-03-31,1269.41,299.84,218.7,15.16,1252.2
Caplin Point Lab,2023-03-31,1466.73,376.26,222.05,15.18,1648.73
Caplin Point Lab,2024-03-31,1694.1,457.09,218.54,15.19,2083.95
Caplin Point Lab,2025-03-31,1937.47,536.31,221.62,15.2,2618.72
